,x,y,temp,vapr,wind,prec,aspect,slope,elevation,ndmi,ndvi,ndwi,fire_risk
0,-121.4926389,40.35541667,0,0,0,0,0,0,0,4,5,4,2.255
1,-121.4926389,40.35513889,0,0,0,0,0,0,0,4,5,3,2.13
2,-121.4926389,40.35486111,0,0,0,0,0,0,0,4,5,3,2.13
3,-121.4926389,40.35458333,0,0,0,0,0,0,0,0,0,0,0
4,-121.4926389,40.35430556,0,0,0,0,0,0,0,0,0,0,0
5,-121.4926389,40.35402778,0,0,0,0,0,0,0,0,0,0,0
6,-121.4926389,40.35375,0,0,0,0,0,0,0,0,0,0,0
7,-121.4926389,40.35347222,0,0,0,0,0,0,0,0,0,0,0
8,-121.4926389,40.35319444,0,0,0,0,0,0,0,0,0,0,0
9,-121.4926389,40.35291667,0,0,0,0,0,0,0,0,0,0,0
10,-121.4926389,40.35263889,0,0,0,0,0,0,0,0,0,0,0
11,-121.4926389,40.35236111,0,0,0,0,0,0,0,0,0,0,0
12,-121.4926389,40.35208333,0,0,0,0,0,0,0,0,0,0,0
13,-121.4926389,40.35180556,0,0,0,0,0,0,0,0,0,0,0
14,-121.4926389,40.35152778,0,0,0,0,0,0,0,0,0,0,0
15,-121.4926389,40.35125,5,2,9,4,0,0,0,0,0,0,1.115
16,-121.4926389,40.35097222,5,2,9,4,0,0,0,0,0,0,1.115
17,-121.4926389,40.35069444,5,2,9,4,0,0,0,0,0,0,1.115
18,-121.4926389,40.35041667,5,2,9,4,0,0,0,0,0,0,1.115
19,-121.4926389,40.35013889,5,2,9,4,0,0,0,0,0,0,1.115
20,-121.4926389,40.34986111,5,2,9,4,0,0,0,0,0,0,1.115
21,-121.4926389,40.34958333,5,2,9,4,0,0,0,0,0,0,1.115
22,-121.4926389,40.34930556,5,2,9,4,0,0,0,0,0,0,1.115
23,-121.4926389,40.34902778,5,2,9,4,0,0,0,0,0,0,1.115
24,-121.4926389,40.34875,5,2,9,4,0,0,0,0,0,0,1.115
25,-121.4926389,40.34847222,5,2,9,4,0,0,0,0,0,0,1.115
